decile,properties,distance_min_m,distance_max_m,mean_n_true_r,mean_n_disk_infl,mean_n_disk_unc,geometric_inflation_capped,geometric_inflation_uncapped,box_vs_disk_inflation
1,26737,0.0,69.93384309861938,1.3230728952388076,6.848599319295358,5277.623817182182,5.176282685512367,3988.9138657243816,3.583378387972323
2,26736,69.93409173402067,130.07170784900575,1.526892579293836,9.471873129862358,5428.349827947337,6.203365749699924,3555.1615755823923,3.9047030484915495
3,26736,130.07760504256726,189.2365736066445,1.6128067025733095,10.573010173548774,5537.773937761819,6.555658627087198,3433.6253246753245,4.407821565020518
4,26736,189.23805966155757,252.5213158663963,1.6424670855774985,11.069868342309993,5632.2513464991025,6.739780930476169,3429.1410743971032,5.014995066967604
5,26736,252.52150547795824,325.3419147594455,1.666255236385398,11.249775583482945,5698.721237283064,6.751532020920783,3420.077016319109,5.768058409303996
6,26736,325.34924445778563,416.4821751808281,1.6799072411729503,11.380273788150808,5731.4621484141235,6.77434652892194,3411.772988377789,6.729237534632867
7,26736,416.4824329090022,550.1588577087541,1.684807001795332,11.502505984440456,5737.672389287852,6.827195027195027,3405.5368853368855,7.8027060686564935
8,26736,550.1660560268961,778.7342250710403,1.673137342908438,11.004263913824058,5628.145234889288,6.577023673797868,3363.827398117721,9.585381190306244
9,26736,778.7503294921952,1277.5069859166176,1.655632854578097,10.485861759425493,4987.760285757032,6.333446289393426,3012.6004518242403,13.205150704476548
10,26737,1277.5477671878818,2630.23485692034,1.6018251860717359,9.197329543329468,6466.282829038411,5.741781077799571,4036.8217988232,27.563163609302627
