property_id,cpp_nearest_water_distance_m,cpp_nearest_water_feature_id,cpp_nearest_water_feature_class,cpp_nearest_water_feature_type,cpp_nearest_water_source_id,cpp_nearest_water_source_object_id,cpp_nearest_water_name,cpp_nearest_water_tie_count,cpp_segment_checks,cpp_candidate_feature_checks,cpp_index_node_visits,distance_crs,algorithm
14817000020150000000,116.82769451242974,flowline:5EBDG,flowline,Channel Line,5EBDG,9118227,,1,32485,6,20,EPSG:26918,feature_bvh
14817000020140000000,139.50272643298277,flowline:5EBDG,flowline,Channel Line,5EBDG,9118227,,1,32485,6,20,EPSG:26918,feature_bvh
14720000010071000000,23.868487095731872,flowline:9ZMPY,flowline,Channel Line,9ZMPY,16859031,,1,32499,6,19,EPSG:26918,feature_bvh
14720000010081110000,153.89068906103299,waterbody:OHBHA,waterbody,River,OHBHA,6808470,,1,32327,3,19,EPSG:26918,feature_bvh
14720000010082100000,152.98814054838905,waterbody:M4M8X,waterbody,Lake,M4M8X,5659922,,1,32354,5,20,EPSG:26918,feature_bvh
14720000010081200000,120.22033791158186,waterbody:OHBHA,waterbody,River,OHBHA,6808470,,1,32327,3,20,EPSG:26918,feature_bvh
14720000010010000000,128.23658440915003,waterbody:OHBHA,waterbody,River,OHBHA,6808470,,1,32446,4,23,EPSG:26918,feature_bvh
14716000030550000000,197.67133638070752,waterbody:OHBHA,waterbody,River,OHBHA,6808470,,1,32446,4,23,EPSG:26918,feature_bvh
14720000010020000000,118.49071137788428,waterbody:OHBHA,waterbody,River,OHBHA,6808470,,1,32446,4,23,EPSG:26918,feature_bvh
14716000030070000000,135.17645376473715,waterbody:OHBHA,waterbody,River,OHBHA,6808470,,1,32446,4,23,EPSG:26918,feature_bvh
14716000030060000000,120.94582722505265,waterbody:OHBHA,waterbody,River,OHBHA,6808470,,1,32446,4,23,EPSG:26918,feature_bvh
14716000030590000000,117.41496496248421,waterbody:OHBHA,waterbody,River,OHBHA,6808470,,1,32446,4,23,EPSG:26918,feature_bvh
14716000030050000000,106.54681311486675,waterbody:OHBHA,waterbody,River,OHBHA,6808470,,1,32446,4,23,EPSG:26918,feature_bvh
